gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,che,dlc,ebit,lct,revt,costat,mkvalt,gsector
001177,20151231,2015,INDL,C,D,STD,AET,USD,53424.1000,5412.2000,0.0000,4762.9000,15481.5000,60226.9000,I,37787.9400,35
001177,20161231,2016,INDL,C,D,STD,AET,USD,69146.0000,20872.0000,1634.0000,5229.0000,18694.0000,63155.0000,I,43614.3170,35
001177,20171231,2017,INDL,C,D,STD,AET,USD,55151.0000,6190.0000,999.0000,5038.0000,16837.0000,60447.0000,I,58951.4520,35
001186,20021231,2002,INDL,C,D,STD,AEM,USD,593.8070,156.8200,0.0000,8.3470,21.0860,108.0270,A,1242.8458,15
001186,20031231,2003,INDL,C,D,STD,AEM,USD,631.7560,112.6150,0.0000,-10.6410,36.4030,126.8200,A,1019.5529,15
001186,20041231,2004,INDL,C,D,STD,AEM,USD,718.1640,119.8070,0.0000,56.1980,34.4920,188.0490,A,1183.5038,15
001186,20051231,2005,INDL,C,D,STD,AEM,USD,976.0690,146.4440,0.0000,57.1890,43.8450,241.3380,A,1933.2591,15
001186,20061231,2006,INDL,C,D,STD,AEM,USD,1521.4880,497.3770,0.0000,235.5680,71.9350,464.6320,A,4991.1122,15
001186,20071231,2007,INDL,C,D,STD,AEM,USD,2735.4980,434.0250,9.7060,173.7680,134.5070,432.2050,A,7779.4759,15
001186,20081231,2008,INDL,C,D,STD,AEM,USD,3378.8240,169.7640,9.8780,58.7200,173.0590,368.9380,A,7946.3460,15
001186,20091231,2009,INDL,C,D,STD,AEM,USD,4247.3570,275.5600,11.9550,130.0030,190.4600,613.7620,A,8457.7500,15
001186,20101231,2010,INDL,C,D,STD,AEM,USD,5500.3510,203.7540,10.5920,409.3530,303.3110,1422.5210,A,12940.8240,15
001186,20111231,2011,INDL,C,D,STD,AEM,USD,5034.2620,366.8690,11.0680,-716.4040,254.4440,1821.7990,A,6203.9645,15
001186,20121231,2012,INDL,C,D,STD,AEM,USD,5255.8420,376.7270,12.9550,511.5000,276.6680,1917.7140,A,9028.5758,15
001186,20131231,2013,INDL,C,D,STD,AEM,USD,4959.3590,244.6220,12.0350,-77.5940,210.6540,1638.4060,A,4588.9065,15
001186,20141231,2014,INDL,C,D,STD,AEM,USD,6840.5380,271.7480,74.3240,287.1190,328.6660,1896.7660,A,5332.3340,15
001186,20151231,2015,INDL,C,D,STD,AEM,USD,6683.1800,164.1420,24.0400,168.0350,311.5220,1985.4320,A,5719.8683,15
001186,20161231,2016,INDL,C,D,STD,AEM,USD,7107.9510,641.1060,135.4310,355.6920,423.6220,2138.2320,A,9448.5300,15
001186,20171231,2017,INDL,C,D,STD,AEM,USD,7865.6010,767.0940,3.4120,413.0560,333.8210,2242.6040,A,10725.3050,15
001186,20181231,2018,INDL,C,D,STD,AEM,USD,7852.8430,384.4380,1.9140,92.1700,361.4490,2191.2210,A,9472.1436,15
001186,20191231,2019,INDL,C,D,STD,AEM,USD,8789.8850,414.1540,374.6930,812.6660,775.6380,2494.8920,A,14762.9266,15
001209,20030930,2003,INDL,C,D,STD,APD,USD,9431.9000,76.2000,378.0000,720.2000,1581.2000,6297.3000,A,9986.2224,15
001209,20040930,2004,INDL,C,D,STD,APD,USD,10040.4000,146.3000,310.1000,838.1000,1705.6000,7411.4000,A,12277.6445,15
001209,20050930,2005,INDL,C,D,STD,APD,USD,10408.8000,55.8000,499.8000,955.6000,1943.2000,8143.5000,A,12235.5109,15
001209,20060930,2006,INDL,C,D,STD,APD,USD,11180.7000,35.2000,623.9000,1013.5000,2323.4000,8850.4000,A,14418.9489,15
